Respondent,SourceStimuliName,VisitedAOI,Dwell Start,Dwell End,Number of Fixations in Dwell,Number of Saccades in Dwell,Dwell Time
P1,SWA_Stimulus2,SWA_Stimulus2_Navigation_2,131856.001,134622.4114,3,3,2766.4104000000225
P1,SWA_Stimulus2,SWA_Stimulus2_Navigation_2,135047.357,135597.2758,1,2,549.918800000014
P1,SWA_Stimulus2,SWA_Stimulus2_Submission,135613.9551,135847.2639,1,0,233.30879999999888
P1,SWA_Stimulus2,SWA_Stimulus2_Navigation_2,135888.9096,136855.456,1,1,966.546399999992
P1,SWA_Stimulus2,SWA_Stimulus2_Navigation_2,136997.1576,137297.1688,1,0,300.0112000000081
P1,SWA_Stimulus2,SWA_Stimulus2_Navigation_2,137613.7552,137930.3469,1,0,316.59169999998994
P1,SWA_Stimulus2,SWA_Stimulus2_Navigation_2,138221.9662,140271.7438,2,1,2049.7776000000013
P1,SWA_Stimulus2,SWA_Stimulus2_Submission,140313.4042,140455.0739,1,0,141.66969999999856
P1,SWA_Stimulus2,SWA_Stimulus2_Current_Selection,140630.039,141296.6545,2,1,666.6155000000144
P1,SWA_Stimulus2,SWA_Stimulus2_Navigation_3,141296.6545,141704.9613,2,4,408.3067999999912
P1,SWA_Stimulus2,SWA_Stimulus2_EventInfo,141704.9613,141963.23,1,0,258.2687000000151
P1,SWA_Stimulus2,SWA_Stimulus2_Navigation_3,142138.2139,143096.4923,3,6,958.2784000000102
P1,SWA_Stimulus2,SWA_Stimulus2_Current_Selection,143171.4224,143346.4082,1,1,174.98579999999492
P1,SWA_Stimulus2,SWA_Stimulus2_EventInfo,143346.4082,143563.0597,1,1,216.65150000000722
P1,SWA_Stimulus2,SWA_Stimulus2_EventInfo,143821.3623,144237.9854,1,0,416.62309999999707
P1,SWA_Stimulus2,SWA_Stimulus2_Navigation_3,144279.6383,144521.2743,1,0,241.6359999999986
P1,SWA_Stimulus2,SWA_Stimulus2_Navigation_3,144854.592,146329.4034,2,3,1474.811400000006
P1,SWA_Stimulus2,SWA_Stimulus2_Published_Report_1,146479.3821,146562.733,1,1,83.35090000001946
P1,SWA_Stimulus2,SWA_Stimulus2_Current_Selection,146629.3652,146879.3379,1,1,249.972700000013
P1,SWA_Stimulus2,SWA_Stimulus2_Question_Editor,146921.0013,147070.9827,1,1,149.98139999998966
P1,SWA_Stimulus2,SWA_Stimulus2_Edit_button,147595.9231,147937.5942,1,0,341.67109999997774
P1,SWA_Stimulus2,SWA_Stimulus2_Question_Editor,147937.5942,148445.8614,2,2,508.26720000000205
P1,SWA_Stimulus2,SWA_Stimulus2_Current_Selection,148479.1595,148829.1519,1,0,349.99239999998827
P1,SWA_Stimulus2,SWA_Stimulus2_Current_Selection,148845.8338,149129.088,1,0,283.25419999999576
P1,SWA_Stimulus2,SWA_Stimulus2_Published_Report_1,149129.088,149429.1163,1,1,300.0283000000054
P1,SWA_Stimulus2,SWA_Stimulus2_Question_Editor,149429.1163,149579.0657,1,1,149.94940000001225
P1,SWA_Stimulus2,SWA_Stimulus2_Current_Selection,149845.6934,150062.3166,1,0,216.62320000000182
P1,SWA_Stimulus2,SWA_Stimulus2_Current_Selection,150103.9779,150970.5758,1,1,866.5978999999934
P1,SWA_Stimulus2,SWA_Stimulus2_Question_Editor,151045.5542,151420.5062,1,0,374.9519999999902
P1,SWA_Stimulus2,SWA_Stimulus2_Edit_button,151470.4987,151703.8043,1,2,233.3055999999924
P1,SWA_Stimulus2,SWA_Stimulus2_Submission_information,151795.4998,152212.1081,2,2,416.6083000000217
P1,SWA_Stimulus2,SWA_Stimulus2_Current_Selection,152278.7651,152362.0807,1,1,83.31560000000172
P1,SWA_Stimulus2,SWA_Stimulus2_Published_Report_1,152637.0443,152687.0595,0,1,50.015199999994365
P1,SWA_Stimulus2,SWA_Stimulus2_Question_Editor,152695.3929,153878.6132,3,6,1183.2202999999863
P1,SWA_Stimulus2,SWA_Stimulus2_EventInfo,153878.6132,154353.5052,2,4,474.89200000002165
P1,SWA_Stimulus2,SWA_Stimulus2_Navigation_3,154578.5316,155020.133,2,1,441.6014000000141
P1,SWA_Stimulus2,SWA_Stimulus2_EventInfo,155020.133,155278.4322,1,1,258.29920000000857
P1,SWA_Stimulus2,SWA_Stimulus2_Question,155720.0254,156069.9993,1,0,349.9738999999827
P1,SWA_Stimulus2,SWA_Stimulus2_Current_Selection,156186.6721,156203.3157,0,1,16.643600000010338
P1,SWA_Stimulus2,SWA_Stimulus2_EventInfo,156211.6591,156536.6204,1,2,324.9613000000245
P1,SWA_Stimulus2,SWA_Stimulus2_Navigation_3,156728.2515,157603.1625,1,0,874.9109999999928
P1,SWA_Stimulus2,SWA_Stimulus2_EventInfo,157669.8116,157919.8023,2,2,249.99070000002393
P1,SWA_Stimulus2,SWA_Stimulus2_Navigation_2,158544.7417,159544.6066,2,3,999.8648999999859
P1,SWA_Stimulus2,SWA_Stimulus2_Submission,159636.2832,159944.5565,1,1,308.27330000000075
P1,SWA_Stimulus2,SWA_Stimulus2_Question_Task2,160136.2456,161227.779,3,5,1091.5334000000148
P1,SWA_Stimulus2,SWA_Stimulus2_Edit_button,161419.4179,161994.3306,1,0,574.9126999999862
P1,SWA_Stimulus2,SWA_Stimulus2_EventInfo,162052.69,162077.6542,0,1,24.964199999987613
P1,SWA_Stimulus2,SWA_Stimulus2_EventInfo,162160.9775,162236.023,0,3,75.04549999997835
P1,SWA_Stimulus2,SWA_Stimulus2_Submission_information,162294.3277,162469.276,1,2,174.9483000000182
P1,SWA_Stimulus2,SWA_Stimulus2_Navigation_3,162544.2701,162885.9117,2,2,341.64160000000265
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_1,616.6061,1024.89,1,1,408.28390000000013
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_1,1058.2074,1283.2152,1,3,225.0078000000001
P2,SWA_Stimulus,SWA_Stimulus_Navigation_1,1516.503,2116.4565,2,4,599.9534999999998
P2,SWA_Stimulus,SWA_Stimulus_Navigation_2,3030.03,3063.3551,0,1,33.32510000000002
P2,SWA_Stimulus,SWA_Stimulus_Navigation_1,7549.813,7616.451,0,1,66.63799999999992
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_1,8788.072,8796.4055,0,1,8.33350000000064
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_1,8979.7254,9379.6956,1,1,399.97019999999975
P2,SWA_Stimulus,SWA_Stimulus_Status_Published1,9379.6956,9421.3308,0,1,41.63520000000062
P2,SWA_Stimulus,SWA_Stimulus_Status Request1,9612.9749,9621.3403,0,1,8.36540000000059
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_1,9704.6334,10012.9299,1,1,308.29649999999856
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_2,10087.9237,10379.5773,1,5,291.65360000000146
P2,SWA_Stimulus,SWA_Stimulus_Status Request1,10504.5672,10587.8656,1,0,83.29839999999967
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_1,10587.8656,11296.1277,2,9,708.2620999999999
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_1,13437.5613,13845.8353,1,2,408.27400000000125
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_1,15287.3397,15345.6908,0,2,58.35109999999986
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_2,15620.6705,15778.9653,1,1,158.29479999999967
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_1,15862.2777,16162.2463,2,1,299.96860000000015
P2,SWA_Stimulus,SWA_Stimulus_Navigation_1,16453.9162,16703.8553,0,2,249.9390999999996
P2,SWA_Stimulus,SWA_Stimulus_Navigation_2,16937.1612,16945.5088,0,1,8.347600000000966
P2,SWA_Stimulus,SWA_Stimulus_Navigation_2,17037.1771,17320.4802,1,2,283.303100000001
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_2,17320.4802,18087.0487,3,5,766.5684999999976
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List4,18170.3934,18195.3812,0,1,24.98779999999897
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_2,18203.7016,18212.0268,0,1,8.325199999999313
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List4,18328.6972,18345.3488,0,1,16.651600000001054
P2,SWA_Stimulus,SWA_Stimulus_Status_invited1,18520.3383,18528.6525,0,1,8.31420000000071
P2,SWA_Stimulus,SWA_Stimulus_Status_invited1,18736.984,18753.6413,0,1,16.65729999999894
P2,SWA_Stimulus,SWA_Stimulus_Status Request1,19211.9256,19245.2962,0,1,33.370600000002014
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_1,19495.2513,19795.1989,0,2,299.9475999999995
P2,SWA_Stimulus,SWA_Stimulus_Status_Published1,19795.1989,19870.1737,1,0,74.97479999999996
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_2,19870.1737,20086.855,1,2,216.6813000000002
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_2,20203.4696,20370.1213,1,0,166.65169999999853
P2,SWA_Stimulus,SWA_Stimulus_Status_Published2,20486.7946,20578.488,1,0,91.69340000000011
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_2,20595.1162,20603.4425,0,1,8.326300000000629
P2,SWA_Stimulus,SWA_Stimulus_Status_Published2,20645.1444,20653.4745,0,1,8.33009999999922
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_1,20786.7835,20795.0805,0,1,8.296999999998661
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_2,20795.0805,20945.0674,1,1,149.98689999999988
P2,SWA_Stimulus,SWA_Stimulus_Status_Published1,21320.0856,21628.3745,1,2,308.2889000000032
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_1,21678.3118,21845.0059,0,2,166.69410000000062
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_1,22461.6014,22503.2216,0,1,41.620200000001205
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_1,22619.8937,22853.21,1,0,233.3162999999986
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_1,22903.2005,23544.7902,3,3,641.5897000000004
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_3,23561.4711,24028.0878,2,7,466.6167000000023
P2,SWA_Stimulus,SWA_Stimulus_Status_Published3,24294.7056,24303.0356,0,1,8.329999999998108
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_3,24386.3484,24744.6532,1,5,358.3048000000017
P2,SWA_Stimulus,SWA_Stimulus_Navigation_1,24877.9759,24911.322,0,2,33.34609999999884
P2,SWA_Stimulus,SWA_Stimulus_Navigation_1,25911.1824,26177.8898,1,1,266.7073999999993
P2,SWA_Stimulus,SWA_Stimulus_Navigation_1,26857.4398,26949.1411,0,1,91.70130000000063
P2,SWA_Stimulus,SWA_Stimulus_Navigation_1,27115.7216,27215.7095,1,1,99.98790000000008
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_1,27299.035,27465.6824,1,4,166.64740000000165
P2,SWA_Stimulus,SWA_Stimulus_Question_Task1,28048.9512,28632.2594,1,7,583.3081999999995
P2,SWA_Stimulus,SWA_Stimulus_Question_Task1,28890.5339,29582.1339,1,10,691.6000000000022
P2,SWA_Stimulus,SWA_Stimulus_Question_Task1,29807.1178,30298.7133,0,3,491.59549999999945
P2,SWA_Stimulus,SWA_Stimulus_Available_Journalists,31881.8889,31915.2153,0,2,33.3263999999981
P2,SWA_Stimulus,SWA_Stimulus_Available_Journalists,31998.6012,32015.2357,0,1,16.634500000000116
P2,SWA_Stimulus,SWA_Stimulus_Event_Details,32456.8018,35089.8592,7,30,2633.057399999998
P2,SWA_Stimulus,SWA_Stimulus_Event_Details,35289.835,38747.7839,9,45,3457.948900000003
P2,SWA_Stimulus,SWA_Stimulus_Event_Details,38906.122,39114.4339,1,0,208.3119000000006
P2,SWA_Stimulus,SWA_Stimulus_Available_Journalists,39114.4339,40530.956,5,15,1416.5220999999947
P2,SWA_Stimulus,SWA_Stimulus_Event_Details,40580.9555,41114.2268,1,6,533.2713000000003
P2,SWA_Stimulus,SWA_Stimulus_Status_Published_5,41272.5275,41280.8746,0,1,8.347100000006321
P2,SWA_Stimulus,SWA_Stimulus_Status_Published_5,41347.528,41364.2043,0,1,16.676299999999173
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_2,41372.539,41639.162,1,2,266.6229999999996
P2,SWA_Stimulus,SWA_Stimulus_Status_Published_5,41714.1353,41830.8087,1,2,116.67339999999967
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_6,41830.8087,42155.8168,2,5,325.0080999999991
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_3,42472.3807,43014.0088,2,3,541.6281000000017
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_2,43089.0072,43338.9748,2,3,249.96760000000359
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_1,43580.5932,43697.2643,1,1,116.67109999999957
P2,SWA_Stimulus,SWA_Stimulus_Navigation_1,43713.9254,43797.2645,0,2,83.33909999999742
P2,SWA_Stimulus,SWA_Stimulus_Navigation_1,44155.5484,44247.2095,0,2,91.66109999999753
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_2,44538.8579,44655.4946,1,0,116.63669999999547
P2,SWA_Stimulus,SWA_Stimulus_Event_Details,48468.5202,48676.8277,0,3,208.30750000000262
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_1,48826.7991,49410.08,4,5,583.2809000000052
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_1,49968.3431,50243.3106,0,4,274.96749999999884
P2,SWA_Stimulus,SWA_Stimulus_Navigation_1,50568.2939,50684.9385,1,2,116.64459999999963
P2,SWA_Stimulus,SWA_Stimulus_Navigation_1,51034.9017,51601.4955,0,5,566.5937999999951
P2,SWA_Stimulus,SWA_Stimulus_Navigation_1,51693.1656,51943.1346,0,1,249.96899999999732
P2,SWA_Stimulus,SWA_Stimulus_Navigation_1,52501.3985,52793.0357,0,1,291.6371999999974
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_1,53776.2746,54217.9073,0,4,441.63270000000193
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_1,54326.2492,54776.1488,1,2,449.8996000000043
